date,day,departure_time,arrival_time,airline,flight_time,seat_class,price,mark_url
617,토,1655,1805,아시아나항공,1시간 10분,일반석,117900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
617,토,1655,1805,아시아나항공,1시간 10분,비즈니스석,174900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
617,토,1700,1810,진에어,1시간 10분,일반석,99900,https://vertical.pstatic.net/vertical/static/flight/airlines/LJ.png
617,토,1700,1810,아시아나항공,1시간 10분,할인석,102900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
617,토,1700,1815,대한항공,1시간 15분,일반석,114900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
617,토,1700,1810,아시아나항공,1시간 10분,일반석,117900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
617,토,1705,1815,티웨이항공,1시간 10분,일반석,97800,https://vertical.pstatic.net/vertical/static/flight/airlines/TW.png
617,토,1720,1830,제주항공,1시간 10분,일반석,99900,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
617,토,1735,1845,이스타항공,1시간 10분,일반석,99800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
617,토,1735,1845,대한항공,1시간 10분,일반석,114900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
617,토,1745,1900,진에어,1시간 15분,일반석,99900,https://vertical.pstatic.net/vertical/static/flight/airlines/LJ.png
617,토,1755,1905,제주항공,1시간 10분,일반석,99900,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
617,토,1805,1910,이스타항공,1시간 05분,일반석,99800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
617,토,1820,1935,대한항공,1시간 15분,일반석,114900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
617,토,1825,1955,하이에어,1시간 30분,특가석,96300,https://vertical.pstatic.net/vertical/static/flight/airlines/4H.png
617,토,1825,1955,하이에어,1시간 30분,일반석,99900,https://vertical.pstatic.net/vertical/static/flight/airlines/4H.png
617,토,1840,1950,제주항공,1시간 10분,일반석,99900,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
617,토,1850,2000,아시아나항공,1시간 10분,할인석,112900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
617,토,1850,2000,아시아나항공,1시간 10분,일반석,117900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
617,토,1850,2000,아시아나항공,1시간 10분,비즈니스석,174900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
617,토,1900,2010,아시아나항공,1시간 10분,할인석,112900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
617,토,1900,2010,아시아나항공,1시간 10분,일반석,117900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
617,토,1905,2020,대한항공,1시간 15분,일반석,114900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
617,토,1905,2020,대한항공,1시간 15분,비즈니스석,174900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
617,토,1930,2040,아시아나항공,1시간 10분,비즈니스석,154900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
617,토,1935,2055,에어부산,1시간 20분,일반석,97900,https://vertical.pstatic.net/vertical/static/flight/airlines/BX.png
617,토,1935,2055,에어부산,1시간 20분,할인석,108500,https://vertical.pstatic.net/vertical/static/flight/airlines/BX.png
