date,day,departure_time,arrival_time,airline,flight_time,seat_class,price,mark_url
616,금,1445,1555,진에어,1시간 10분,일반석,121900,https://vertical.pstatic.net/vertical/static/flight/airlines/LJ.png
616,금,1450,1600,에어서울,1시간 10분,할인석,76800,https://vertical.pstatic.net/vertical/static/flight/airlines/RS.png
616,금,1450,1600,에어서울,1시간 10분,일반석,121900,https://vertical.pstatic.net/vertical/static/flight/airlines/RS.png
616,금,1455,1605,아시아나항공,1시간 10분,할인석,74900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
616,금,1455,1605,아시아나항공,1시간 10분,일반석,134900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
616,금,1455,1605,아시아나항공,1시간 10분,비즈니스석,171900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
616,금,1500,1610,진에어,1시간 10분,할인석,70800,https://vertical.pstatic.net/vertical/static/flight/airlines/LJ.png
616,금,1500,1610,대한항공진에어공동운항,1시간 10분,일반석,108900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
616,금,1500,1610,진에어,1시간 10분,일반석,121900,https://vertical.pstatic.net/vertical/static/flight/airlines/LJ.png
616,금,1505,1615,아시아나항공,1시간 10분,할인석,74900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
616,금,1505,1615,에어부산,1시간 10분,할인석,94400,https://vertical.pstatic.net/vertical/static/flight/airlines/BX.png
616,금,1505,1615,에어부산,1시간 10분,일반석,120900,https://vertical.pstatic.net/vertical/static/flight/airlines/BX.png
616,금,1505,1615,아시아나항공,1시간 10분,일반석,134900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
616,금,1505,1615,아시아나항공,1시간 10분,비즈니스석,191900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
616,금,1510,1620,제주항공,1시간 10분,할인석,73800,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
616,금,1510,1620,대한항공,1시간 10분,할인석,108900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
616,금,1510,1620,제주항공,1시간 10분,일반석,121400,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
616,금,1515,1625,티웨이항공,1시간 10분,일반석,120900,https://vertical.pstatic.net/vertical/static/flight/airlines/TW.png
616,금,1530,1640,제주항공,1시간 10분,할인석,83800,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
616,금,1530,1640,제주항공,1시간 10분,일반석,121400,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
616,금,1535,1645,대한항공,1시간 10분,할인석,120900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
616,금,1535,1645,대한항공,1시간 10분,비즈니스석,191900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
616,금,1540,1650,이스타항공,1시간 10분,할인석,86800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
616,금,1540,1650,이스타항공,1시간 10분,일반석,121800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
616,금,1550,1705,제주항공,1시간 15분,할인석,91800,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
616,금,1550,1705,제주항공,1시간 15분,일반석,121400,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
