rent_date,rent_day,return_date,return_day,car_name,oiltype,num_seat,price,reserve_avail,rent_period,img_url
601,목,603,토,니로 ,전기,5,153000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000027017&fileSn=0
601,목,603,토,더 뉴 레이 ,가솔린,5,155200,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000003146&fileSn=0
601,목,603,토,ALL NEW K3 ,가솔린,5,156000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000003140&fileSn=0
601,목,603,토,아반떼 AD  F/L,가솔린,5,156000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000004113&fileSn=0
601,목,603,토,더 뉴 코나 4WD ,가솔린,5,168000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000565397&fileSn=0
601,목,603,토,코나 ,가솔린,5,168000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000002143&fileSn=0
601,목,603,토,디 올 뉴 코나 4WD ,가솔린,5,180000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000002308432&fileSn=0
601,목,603,토,베리 뉴 티볼리 ,가솔린,5,180000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000004657&fileSn=0
601,목,603,토,셀토스 4WD ,디젤,5,180000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000045171&fileSn=0
601,목,603,토,셀토스 4WD ,가솔린,5,180000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000001842689&fileSn=0
601,목,603,토,제네시스 G80 3.3 ,가솔린,5,180000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000001877&fileSn=0
601,목,603,토,EV6 4WD ,전기,5,198000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000001564747&fileSn=0
601,목,603,토,아이오닉 5 4WD ,전기,5,198000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000001842716&fileSn=0
601,목,603,토,GV60 4WD ,전기,5,252000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000001842718&fileSn=0
601,목,603,토,더 마스터 쏘렌토 4WD 7인승 ,디젤,7,252000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000004380&fileSn=0
601,목,603,토,GV70 ,전기,5,270000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000001842760&fileSn=0
601,목,603,토,G90 3.8 ,가솔린,5,294000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000004103&fileSn=0
601,목,603,토,GV70 4WD ,디젤,5,420000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000001210493&fileSn=0
601,목,603,토,쏠라티  2.5 15인승,디젤,15,605000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000004426&fileSn=0
602,금,604,일,더 뉴 레이 ,가솔린,5,194000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000003146&fileSn=0
602,금,604,일,캐스퍼 ,가솔린,4,220000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000001219244&fileSn=0
602,금,604,일,더 뉴 K3 ,가솔린,5,260000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000565796&fileSn=0
602,금,604,일,코나 ,전기,5,272000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000003682&fileSn=0
602,금,604,일,XM3 1.4 ,가솔린,5,285000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000045174&fileSn=0
602,금,604,일,K7 PREMIER  2.5,가솔린,5,351000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000045181&fileSn=0
602,금,604,일,더 뉴 그랜저 2.5 ,가솔린,5,351000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000045180&fileSn=0
602,금,604,일,K8 2.5 ,가솔린,5,375000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000554962&fileSn=0
602,금,604,일,THE NEW G70 2.0 ,가솔린,5,425600,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000001219247&fileSn=0
602,금,604,일,G70 SHOOTING BRAKE  2.0,가솔린,5,437000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000001707217&fileSn=0
602,금,604,일,쏘렌토 MQ4 7인승 4WD ,디젤,7,418000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000045177&fileSn=0
