checkin_date,checkin_day,checkout_date,checkout_day,name,location,grade,score,customer_num,price
601,목,603,토,파르나스 호텔 제주,서귀포,5,9.2,3,912500
601,목,603,토,제주 신라 호텔,서귀포,5,9.0,3,836000
601,목,603,토,랜딩관 제주신화월드 호텔앤리조트,서귀포,5,8.3,3,374220
601,목,603,토,메종 글래드 제주,제주,5,8.1,3,369289
601,목,603,토,롯데 호텔 제주,서귀포,5,8.8,3,660000
601,목,603,토,라마다 프라자 제주 호텔,제주,5,8.2,3,375693
601,목,603,토,신라스테이 제주,제주,4,8.0,3,295800
601,목,603,토,그랜드 하얏트 제주,제주,5,8.8,3,617400
601,목,603,토,그랜드 조선 제주,서귀포,5,8.9,3,698400
601,목,603,토,에코랜드 호텔,제주,0,0.0,3,892826
601,목,603,토,베스트웨스턴 제주호텔,제주,4,7.6,3,181818
601,목,603,토,탐라스테이 호텔 제주,제주,4,7.7,3,245741
601,목,603,토,라마다 제주 시티 호텔,제주,4,8.1,3,155306
601,목,603,토,신화관 제주신화월드 호텔앤리조트,서귀포,5,8.3,3,552420
601,목,603,토,해비치 호텔 & 리조트,서귀포,5,8.6,3,603500
601,목,603,토,브라운 스위트 제주,서귀포,4,7.3,3,141658
601,목,603,토,서머셋 제주신화월드,서귀포,5,8.6,3,885600
601,목,603,토,휘닉스 제주 섭지코지,서귀포,4,7.8,3,670909
601,목,603,토,더큐브 리조트 제주,서귀포,4,8.2,3,138739
601,목,603,토,롯데시티호텔 제주,제주,4,8.5,3,297000
601,목,603,토,호텔 브릿지 서귀포,서귀포,4,8.0,3,175827
601,목,603,토,호텔 케니 서귀포,서귀포,3,8.1,3,85910
601,목,603,토,골든튤립 제주성산호텔,서귀포,4,7.7,3,126925
601,목,603,토,호텔 난타,제주,4,8.6,3,178405
601,목,603,토,더 베스트 제주 성산,서귀포,4,7.9,3,119008
601,목,603,토,한림리조트,제주,0,0.0,3,243409
601,목,603,토,메리어트관 제주신화월드 호텔앤리조트,서귀포,5,8.4,3,600000
601,목,603,토,호텔 토스카나,서귀포,5,9.0,3,512726
601,목,603,토,서귀포 JS호텔,서귀포,4,8.4,3,107979
601,목,603,토,히든 클리프 호텔&네이쳐,서귀포,5,8.3,3,644628
601,목,603,토,제주 웨스턴 그레이스 호텔,서귀포,3,8.4,3,70534
601,목,603,토,호텔 샬롬 제주,제주,4,7.9,3,122316
601,목,603,토,세인트 비치 호텔,제주,4,7.0,3,168836
601,목,603,토,함덕비치스테이제주,제주,2,8.0,3,136350
601,목,603,토,호텔 케니 모슬포,서귀포,3,8.4,3,130909
601,목,603,토,더 그랜드 섬오름,서귀포,4,8.3,3,341122
601,목,603,토,골든데이지 서귀포오션 호텔,서귀포,4,7.9,3,116226
601,목,603,토,스타즈 호텔 제주 로베로점,제주,3,8.0,3,127099
601,목,603,토,그라벨 호텔,제주,4,8.1,3,192398
601,목,603,토,훈데르트힐즈,제주,0,0.0,3,513223
601,목,603,토,글로스터 호텔 제주,제주,4,8.3,3,141651
601,목,603,토,엠스테이 호텔 제주,서귀포,4,7.8,3,78612
601,목,603,토,제주 센트럴시티호텔,제주,3,7.7,3,128308
601,목,603,토,플레이스 캠프 제주,서귀포,4,8.3,3,339121
601,목,603,토,레슬리 호텔,제주,3,7.8,3,149090
601,목,603,토,헤이 서귀포,서귀포,3,7.9,3,88026
601,목,603,토,루체빌,서귀포,3,8.4,3,434344
601,목,603,토,까사로마 호텔,서귀포,3,8.8,3,212445
601,목,603,토,캠퍼트리 호텔 앤 리조트,제주,4,8.4,3,452727
601,목,603,토,제주 디 아일랜드 블루 호텔,서귀포,4,8.1,3,121687
601,목,603,토,산방산 호텔,서귀포,3,8.5,3,183771
601,목,603,토,유니호텔 제주,제주,4,7.7,3,327272
601,목,603,토,스위트 호텔 제주,서귀포,5,8.3,3,456363
601,목,603,토,어반아일랜드 호텔,제주,3,7.4,3,143802
601,목,603,토,엠버퓨어힐호텔&리조트,제주,5,9.2,3,941477
601,목,603,토,신신호텔 제주월드컵,서귀포,4,7.7,3,83850
601,목,603,토,벨룸 리조트,서귀포,5,8.8,3,748727
601,목,603,토,오션스위츠 제주 호텔,제주,4,8.1,3,299990
601,목,603,토,제주 아리아 호텔,서귀포,3,8.4,3,164534
601,목,603,토,라마다 바이 윈덤 제주 더 함덕,제주,4,7.8,3,171436
601,목,603,토,위드스테이호텔,제주,4,8.7,3,122267
601,목,603,토,파크 선샤인 제주,서귀포,3,8.9,3,208265
601,목,603,토,베니키아 호텔 제주,제주,3,7.5,3,115290
601,목,603,토,신신호텔 서귀포,서귀포,4,8.0,3,74652
601,목,603,토,샐리스 제주 호텔,제주,3,7.2,3,166936
601,목,603,토,퍼스트70 호텔,서귀포,4,8.1,3,108586
601,목,603,토,아이미제주비치호텔,제주,3,7.2,3,96211
601,목,603,토,포도 호텔,서귀포,0,0.0,3,1266116
601,목,603,토,오션 팰리스 호텔,서귀포,4,7.4,3,132572
601,목,603,토,제주 노블레스 관광호텔,제주,3,7.8,3,154545
601,목,603,토,호텔 빠레브,서귀포,4,8.2,3,127005
601,목,603,토,애월 스테이 인 제주,제주,2,8.6,3,190472
601,목,603,토,오션블루 호텔,서귀포,3,7.2,3,204380
601,목,603,토,제주 썬호텔,제주,5,8.8,3,222070
601,목,603,토,블루 하와이 리조트,제주,3,7.9,3,150000
601,목,603,토,머큐어 앰배서더 제주,서귀포,5,8.0,3,376200
601,목,603,토,호텔 화인 제주,서귀포,4,9.2,3,383260
601,목,603,토,호텔 스카이파크 제주 1호점,제주,3,7.8,3,141422
601,목,603,토,엠버 호텔 제주,제주,4,8.5,3,148761
601,목,603,토,호텔더그랑 서귀포,서귀포,3,10.0,3,212396
601,목,603,토,탑스텐 빌라 드 애월,제주,4,8.2,3,296574
601,목,603,토,호텔 삼해인,제주,1,8.0,3,81942
601,목,603,토,더 포 그레이스 리조트,서귀포,3,7.9,3,120000
601,목,603,토,소랑 풀빌라,제주,3,8.4,3,281818
601,목,603,토,오션스타,서귀포,0,0.0,3,229091
601,목,603,토,소노캄 제주,서귀포,4,7.5,3,282513
601,목,603,토,아루미호텔 협재점,제주,3,8.0,3,152893
